,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
30,The Roosevelt Hotel New York City,28.992248062,-1.0,-1.0,25.4214246873,-1.0,-1.0,-1.0,-1.0,27.3885350318,20.6367924528,21.4285714286,25.4214246873,30.8056872038,27.4961597542,32.5275506577,30.5955497382,21.9362745098,21.1352657005,29.4712024251,-1.0,-1.0,-1.0,-1.0,-1.0,29.9326275265,-1.0,-1.0,-1.0,30.8181818182,39.7098598476,21.4629451396,35.5355355355,-1.0,28.5014691479,31.7353787152,-1.0,-1.0,34.1395348837,33.7444933921,36.8609865471,26.9743589744,27.3846153846,25.6281407035,32.014187045,35.2685050798,28.1296023564,31.8654775177,-1.0,30.5726872247,-1.0,-1.0,27.8039585297,34.1203943954,21.2749003984,28.7492590397,26.9195189639,39.1056137012,30.0546448087,31.2775330396,-1.0,-1.0,32.1428571429,33.2728921124,33.2427536232,29.3162719633,27.3429951691,25.6572982774,29.2146596859,26.5407554672,25.9727626459,26.4171122995,41.4804740626,29.1492593999,25.8921644686,31.9033816425,16.6125541126,29.6982429335,27.4163090129,31.6782522344,27.4054982818,30.6796577947,25.5494505495,27.3088381331,27.8803186322,29.1396854764,28.0,28.9398280802,34.8430066603,29.9299299299,28.5565939772,29.9382716049,32.5654450262,28.4469273743,29.3989071038,28.385026738,27.958974359,-1.0,29.5401069519,31.3661202186,-1.0,24.9230769231,29.4358974359,24.5771144279,26.7973856209,30.7307307307,28.3282051282,33.9063992359,22.6099525088,22.7117280225,23.5282051282,22.0693902689,23.3103448276,-1.0,-1.0,-1.0,-1.0,28.6153846154,26.4981273408,-1.0,-1.0,-1.0,26.2427745665,24.280950396,22.091503268,24.3040935673,21.3549337261,20.5348615091,20.4481792717,24.7682119205,21.3714285714,16.7144221585,-1.0,18.7282051282,19.9958982773,18.391959799,20.314033366,28.02124834,22.196507469,21.5714881201,23.2582837723,14.9738219895,22.7428571429,16.7311632142,22.7428571429,23.6596736597,23.8040478381,25.1638576779,25.5244755245,23.6571428571,-1.0,21.3714285714,-1.0,28.2285714286,22.8708133971,22.8708133971,-1.0,26.8341708543,-1.0,-1.0,32.4051256777
31,Hilton Garden Inn New York Midtown Park Ave,32.0930232558,25.1179245283,26.3466042155,32.2185970636,-1.0,25.0724637681,31.0291858679,28.7131782946,27.821656051,24.929245283,26.3466042155,28.738444807,30.3949447077,32.1351766513,34.1628154995,34.5876963351,-1.0,22.2222222222,32.1657123611,29.2156862745,28.6714975845,22.3026315789,44.9350649351,33.5464231355,27.1799807507,26.9031639501,28.1894150418,-1.0,-1.0,34.4234079174,27.468719923,24.5245245245,29.2250233427,-1.0,28.092042186,-1.0,29.9598393574,35.2558139535,36.3876651982,39.3721973094,33.5384615385,32.9230769231,32.864321608,-1.0,43.1059506531,41.9734904271,26.4771460424,42.4892703863,-1.0,-1.0,-1.0,-1.0,37.7529839128,22.2310756972,25.7854179016,26.5679925994,30.2188392008,33.1147540984,27.7533039648,20.0,-1.0,-1.0,32.3662737987,31.7934782609,35.2368220015,31.0144927536,29.6464188577,33.612565445,-1.0,28.2879377432,28.7058823529,27.8997474257,-1.0,-1.0,-1.0,-1.0,29.4690603514,28.0686695279,31.2015888779,27.560137457,-1.0,-1.0,28.2621648461,36.6232756946,-1.0,32.487804878,32.9512893983,-1.0,29.1291291291,31.4641744548,33.6419753086,31.0994764398,-1.0,29.1803278689,27.2727272727,26.1538461538,30.4712041885,27.9144385027,30.4918032787,33.1843575419,-1.0,-1.0,-1.0,-1.0,27.3273273273,29.2307692308,24.7946513849,28.4947346686,-1.0,-1.0,-1.0,-1.0,24.3697478992,25.7383100902,22.7741330834,25.363869863,26.441025641,25.0,26.0997067449,38.563477339,-1.0,-1.0,-1.0,-1.0,27.0175438596,26.1519040606,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.8358974359,24.7128794094,25.8291457286,22.1786064769,32.2709163347,24.3004418262,-1.0,23.8954970263,-1.0,24.3428571429,21.2838606875,18.4,-1.0,28.9098436063,22.8230337079,-1.0,22.1028571429,22.72,26.1257142857,27.374301676,-1.0,24.5933014354,22.6220095694,24.800861141,30.0502512563,26.6732869911,-1.0,-1.0
32,McCarren Hotel & Pool,-1.0,-1.0,52.1077283372,-1.0,44.5518867925,48.768115942,59.9385560676,-1.0,48.3057324841,74.2924528302,-1.0,-1.0,51.1848341232,49.1858678955,59.9004621401,53.6321989529,40.6862745098,37.0531400966,50.0842034355,51.0784313725,34.1062801932,30.7236842105,64.3722943723,-1.0,-1.0,42.5503355705,49.3964716806,39.0722569135,41.8909090909,48.2419473814,39.9615014437,-1.0,-1.0,41.6258570029,40.6519654842,36.454018227,51.9036144578,44.6325581395,46.6607929515,42.6905829596,47.2615384615,61.2923076923,44.6030150754,58.5402277394,83.8606676343,60.58910162,49.0152359718,77.9685264664,30.5550660793,37.0053475936,38.408880666,-1.0,56.8240788791,30.5179282869,-1.0,-1.0,34.2530922931,48.087431694,-1.0,-1.0,50.3362543305,48.2967032967,37.2982774252,40.1811594203,45.8174178762,47.2850241546,-1.0,48.942408377,-1.0,-1.0,45.6256684492,42.3547697688,-1.0,-1.0,-1.0,-1.0,40.9090909091,46.8669527897,50.3078450844,36.6494845361,50.9030418251,-1.0,39.9205561072,41.8107635516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.4136125654,36.9832402235,37.9672131148,35.2513368984,34.7897435897,-1.0,32.2994652406,36.0218579235,-1.0,37.0256410256,33.8051282051,-1.0,34.9206349206,36.1361361361,-1.0,30.9264565425,-1.0,-1.0,34.4615384615,-1.0,-1.0,30.6816059757,36.2797374897,36.419868791,44.4135273973,30.9948717949,31.3483146067,30.2443792766,53.0612244898,-1.0,38.5433526012,-1.0,26.5546218487,-1.0,-1.0,32.5310410697,-1.0,-1.0,-1.0,-1.0,-1.0,31.2205128205,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.4554973822,27.6342857143,31.5274300023,36.6171428571,-1.0,-1.0,31.25,-1.0,34.7657142857,31.3828571429,35.52,36.8268156425,32.0457142857,25.9138755981,26.9090909091,31.3240043057,22.6532663317,-1.0,-1.0,-1.0
33,Cassa Hotel 45th Street,41.3953488372,32.9009433962,35.4800936768,42.0065252855,29.1273584906,39.7342995169,40.3993855607,44.496124031,30.7006369427,29.8349056604,31.9672131148,36.5687873844,36.1769352291,38.2488479263,41.4148595805,46.9568062827,28.3088235294,-1.0,36.5442910071,35.1307189542,-1.0,23.7938596491,56.9264069264,-1.0,-1.0,-1.0,35.1903435469,34.8795718109,-1.0,44.62748955,34.937439846,38.7387387387,35.9477124183,34.9657198825,-1.0,-1.0,-1.0,36.7441860465,35.5066079295,36.1434977578,36.0,34.1538461538,36.4824120603,43.9611722979,-1.0,48.1590574374,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.3864541833,38.2335506817,40.2405180389,-1.0,37.4863387978,33.9030837004,29.1986062718,-1.0,43.2417582418,40.3445149592,42.7717391304,33.8999236058,37.0048309179,42.4660018132,41.9057591623,34.4930417495,36.2451361868,40.0427807487,39.4015931611,-1.0,27.34678045,-1.0,-1.0,40.1642475172,36.5493562232,44.3098311817,40.0687285223,46.2452471483,35.9706959707,32.9294935452,-1.0,-1.0,32.6829268293,36.0076408787,-1.0,35.5355355355,35.3478712357,44.9588477366,44.0628272251,29.2290502793,-1.0,41.0267379679,-1.0,-1.0,38.0320855615,-1.0,-1.0,-1.0,38.0923076923,23.3432835821,36.5079365079,-1.0,31.7743589744,36.1222540592,27.9578773488,25.8096962382,40.2871794872,29.747485116,38.1674876847,-1.0,24.4052502051,-1.0,-1.0,24.8205128205,29.9063670412,-1.0,-1.0,-1.0,36.9248554913,21.1754897874,-1.0,36.9122807018,26.4885335578,24.4126074499,27.0028011204,31.5761589404,26.7657142857,24.2215854823,-1.0,25.558974359,24.4257588187,29.8894472362,-1.0,33.0942895086,20.8079107932,21.3839099625,31.945624469,20.1256544503,24.2742857143,24.8122012292,-1.0,29.9533799534,30.013799448,30.313670412,32.2843822844,36.8,26.8571428571,26.6285714286,-1.0,33.7142857143,25.9330143541,-1.0,-1.0,25.7889447236,-1.0,-1.0,-1.0
34,Hyatt Herald Square New York,36.1240310078,30.7783018868,-1.0,-1.0,-1.0,-1.0,-1.0,37.023255814,27.3885350318,24.8820754717,-1.0,40.4295812942,30.7740916272,29.1551459293,34.6960540348,-1.0,30.7352941176,24.1787439614,38.2620410913,31.8300653595,29.6859903382,24.9122807018,48.3982683983,37.2907153729,28.4504331088,28.6864813039,29.7864438254,-1.0,29.0,-1.0,-1.0,-1.0,-1.0,32.3016650343,31.2751677852,27.4730737365,-1.0,-1.0,37.7797356828,-1.0,-1.0,-1.0,-1.0,36.4943065148,-1.0,-1.0,38.8331475288,-1.0,-1.0,-1.0,-1.0,-1.0,39.5173845355,24.5577689243,30.0928670223,-1.0,-1.0,-1.0,-1.0,-1.0,38.0476869778,36.1721611722,33.5267452403,33.6594202899,37.3758594347,33.9516908213,26.9265639166,30.6806282723,30.2783300199,31.6147859922,31.7647058824,28.5797551972,27.8199772123,28.8013964313,-1.0,-1.0,30.3284950344,-1.0,32.4329692155,27.4054982818,34.9572243346,26.7765567766,29.7517378352,28.5797551972,-1.0,34.4585365854,38.376313276,-1.0,29.9499499499,30.8826583593,-1.0,32.0837696335,-1.0,29.2021857923,28.577540107,27.0358974359,30.6806282723,30.9090909091,32.2404371585,-1.0,33.6820512821,-1.0,32.4975124378,-1.0,29.98998999,30.1743589744,26.4565425024,29.2174272145,-1.0,-1.0,-1.0,-1.0,27.1335200747,27.9122231337,25.3420805998,32.0633561644,-1.0,23.8014981273,28.8367546432,38.8285184204,38.9293139293,-1.0,27.8449353897,23.4360410831,30.8304093567,23.5640648012,22.2540592168,24.5564892624,33.2450331126,25.3942857143,21.8720152818,30.1523487093,-1.0,25.6152584085,24.4221105528,24.8282630029,30.8897742364,25.2261729434,24.8020008337,25.6584536958,20.7748691099,-1.0,22.1716366947,-1.0,-1.0,24.2640294388,25.3979400749,28.1585081585,24.1142857143,27.4057142857,24.8,-1.0,29.8742857143,24.7846889952,24.976076555,-1.0,30.432160804,30.0695134062,31.256490135,47.6835879744
35,Martha Washington,50.6356589147,36.8632075472,41.1943793911,47.471451876,32.641509434,-1.0,44.8540706605,-1.0,31.5159235669,26.391509434,27.0960187354,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.792107796,35.1869606903,37.9758588672,37.0205173952,31.0,48.0698303418,36.6698748797,43.1431431431,-1.0,30.4603330069,-1.0,-1.0,39.7590361446,38.2325581395,37.4449339207,37.2197309417,26.1333333333,29.0666666667,30.9949748744,44.3345155871,-1.0,44.9189985272,-1.0,-1.0,-1.0,33.422459893,38.5753931545,39.1140433553,40.8666320706,20.1593625498,33.0962260423,21.1840888067,-1.0,31.1475409836,-1.0,-1.0,43.3054819645,36.5384615385,41.2511332729,41.2137681159,28.1703590527,30.0483091787,31.0970081596,47.4345549738,24.5526838966,29.4747081712,34.1176470588,-1.0,-1.0,23.7587276959,-1.0,-1.0,30.0802139037,24.9785407725,32.4726911619,28.6082474227,33.1511406844,35.8058608059,27.3088381331,-1.0,-1.0,30.7317073171,27.7936962751,30.7326355852,29.1291291291,27.7258566978,32.8189300412,33.1937172775,27.374301676,-1.0,29.4117647059,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.7948717949,32.1393034826,35.0140056022,26.9469469469,30.4615384615,30.8500477555,34.3795168284,25.2866626433,25.9487179487,29.4600698009,-1.0,-1.0,-1.0,-1.0,-1.0,24.6974358974,27.2471910112,27.2727272727,39.8886827458,-1.0,31.5606936416,29.908295123,-1.0,-1.0,26.6147696192,-1.0,-1.0,32.9801324503,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.6055776892,23.2695139912,-1.0,26.1045029737,14.7643979058,16.4571428571,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0342857143,31.4285714286,-1.0,-1.0,-1.0,27.4641148325,38.4284176534,27.0552763819,24.3296921549,29.8650051921,36.8161655988
36,W New York Times Square,47.4108527132,36.8160377358,34.7072599532,44.1816204459,-1.0,33.5024154589,42.1198156682,51.6279069767,37.2229299363,31.320754717,32.3653395785,45.7585644372,37.75671406,36.2519201229,45.503021685,-1.0,-1.0,29.5169082126,49.7473896935,47.8758169935,31.5217391304,-1.0,-1.0,-1.0,38.0173243503,-1.0,36.2116991643,37.3773416592,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.5381526104,-1.0,37.1806167401,37.9372197309,40.6974358974,39.7948717949,-1.0,39.2383796901,-1.0,-1.0,-1.0,52.1316165951,33.4977973568,35.0445632799,37.5208140611,40.0942507069,52.1276595745,33.4342629482,-1.0,32.7659574468,40.6660323501,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.0676328502,37.1350861287,44.5445026178,-1.0,-1.0,-1.0,-1.0,33.4409418914,-1.0,38.0676328502,-1.0,36.9556913675,33.7339055794,40.1390268123,36.7869415808,43.6549429658,33.5164835165,36.7825223436,37.1284243248,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.2633744856,37.7591623037,46.9273743017,35.9344262295,35.6363636364,35.5487179487,-1.0,-1.0,-1.0,-1.0,-1.0,37.2923076923,36.0199004975,35.350140056,33.6936936937,33.3128205128,32.2827125119,36.1965723725,29.7123315228,30.1538461538,30.8560870458,30.2660098522,31.8767507003,32.9573420837,29.7282099344,32.2988013699,36.5128205128,32.9213483146,32.8836754643,49.0060959449,-1.0,38.3352601156,36.0358482701,33.4827264239,34.1754385965,32.2743530402,27.488061127,30.5695611578,-1.0,30.3542857143,27.2970391595,30.8294540838,-1.0,31.7883511075,30.8341708543,28.675171737,36.1487383798,30.0441826215,30.9295539808,33.7085811385,26.2408376963,28.6171428571,27.3844753016,26.3542857143,30.2797202797,30.4047838086,31.8586142322,44.0326340326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,Hyatt Place New York Midtown South,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.5800865801,25.1141552511,-1.0,-1.0,27.260909935,-1.0,-1.0,-1.0,-1.0,29.9499499499,-1.0,-1.0,-1.0,-1.0,-1.0,31.0139534884,30.0440528634,31.1031390135,-1.0,-1.0,-1.0,-1.0,45.9216255443,45.9499263623,-1.0,45.2646638054,-1.0,-1.0,-1.0,32.6861451461,-1.0,-1.0,-1.0,-1.0,27.1170313987,30.4918032787,-1.0,19.4425087108,-1.0,-1.0,-1.0,37.4275362319,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.4331550802,-1.0,-1.0,25.1163692785,24.2512077295,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.7655677656,27.6067527309,-1.0,-1.0,28.0,-1.0,-1.0,28.3683683684,-1.0,-1.0,-1.0,-1.0,-1.0,31.7647058824,-1.0,-1.0,26.8449197861,33.1366120219,-1.0,-1.0,30.5435897436,29.4527363184,-1.0,23.3233233233,23.7128205128,22.9417382999,25.9136898617,-1.0,-1.0,25.7647300349,-1.0,-1.0,24.0771123872,21.6682286785,-1.0,28.5128205128,26.0299625468,-1.0,36.8407103101,33.6538461538,29.9421965318,26.9904126719,23.2492997199,24.9122807018,19.882179676,19.9617956065,17.6470588235,-1.0,22.3085714286,23.8013371538,-1.0,-1.0,22.2518457752,-1.0,-1.0,-1.0,19.587628866,20.3418090871,-1.0,-1.0,24.3657142857,19.2351468245,-1.0,23.1934731935,22.8840846366,25.3979400749,24.8251748252,21.0742857143,22.5142857143,22.72,20.6033519553,31.7714285714,22.985645933,22.2966507177,25.0807319699,-1.0,30.1092353525,31.4849428868,-1.0
38,DoubleTree by Hilton Hotel Newark Airport,23.4108527132,15.9198113208,16.7447306792,-1.0,14.7405660377,15.8212560386,-1.0,-1.0,19.2356687898,15.2122641509,16.7447306792,-1.0,-1.0,-1.0,-1.0,-1.0,15.318627451,15.8212560386,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.6363636364,20.2852225227,16.6506256015,24.5245245245,12.4183006536,16.5523996082,17.929050815,-1.0,13.4136546185,12.9302325581,13.127753304,-1.0,13.0256410256,13.8461538462,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.1806167401,14.3493761141,15.4486586494,-1.0,20.1089776855,12.828685259,19.0673779885,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.2028985507,13.6899365367,-1.0,14.4135188867,14.6887159533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.1630901288,17.1797418073,14.6907216495,18.4173003802,14.7435897436,16.7825223436,-1.0,-1.0,15.3170731707,15.9503342884,-1.0,15.3153153153,16.303219107,17.7983539095,-1.0,16.6480446927,16.2841530055,15.935828877,15.6923076923,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.3892576946,14.6666666667,15.4998973517,14.2857142857,-1.0,16.0992616899,14.1518275539,16.3741438356,16.7179487179,14.7003745318,14.7605083089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.6102412188,-1.0,-1.0,15.9798994975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.6685714286,13.2028226724,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,Hampton Inn Manhattan United Nations,29.3023255814,22.9952830189,23.5362997658,43.2572050027,-1.0,24.2753623188,42.7035330261,30.015503876,27.2356687898,25.2122641509,24.8009367681,33.9858618815,29.541864139,31.797235023,38.3220760754,37.140052356,-1.0,-1.0,36.4769282587,-1.0,-1.0,-1.0,-1.0,-1.0,37.2281039461,36.1649089166,37.8458681523,-1.0,27.9090909091,36.0216375707,26.8527430221,24.9449449449,29.4117647059,29.4809010774,25.1006711409,-1.0,-1.0,-1.0,-1.0,-1.0,33.6820512821,29.2512820513,26.1306532663,24.4353182752,46.3570391872,38.2916053019,24.4890375325,43.8912732475,-1.0,-1.0,40.6290471785,-1.0,-1.0,24.6215139442,25.5878284924,21.5541165587,30.3520456708,33.1147540984,22.1145374449,24.3205574913,40.8599959242,38.0036630037,-1.0,-1.0,26.0695187166,23.0917874396,23.4814143246,27.1204188482,-1.0,-1.0,32.8342245989,-1.0,31.238131409,33.8440651668,34.6859903382,21.6991341991,28.5523300229,28.7553648069,36.2462760675,26.2027491409,-1.0,-1.0,29.1757696127,29.2403341752,33.7650323774,32.8780487805,34.670487106,-1.0,28.3283283283,28.764278297,29.1152263374,30.4712041885,30.0558659218,33.1147540984,30.9090909091,25.9487179487,30.0523560209,31.1229946524,27.868852459,29.8324022346,-1.0,-1.0,28.3582089552,-1.0,22.9229229229,24.3076923077,23.5912129895,-1.0,-1.0,23.8974358974,24.5329501129,21.9704433498,25.4901960784,23.6874487285,22.2118088097,25.7705479452,30.0512820513,27.2471910112,-1.0,-1.0,32.3544698545,32.4855491329,30.116715298,-1.0,23.7192982456,25.3524090048,21.6809933142,20.0746965453,-1.0,-1.0,20.7640878701,22.3233178163,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.8115183246,17.2571428571,23.4691554746,24.3428571429,25.3613053613,26.3339466421,27.4578651685,-1.0,28.1371428571,-1.0,27.2685714286,23.7541899441,-1.0,-1.0,24.0765550239,-1.0,31.4170854271,27.9642502483,33.0633437175,41.7447018236
40,Millenium Hilton,37.984496124,30.5424528302,30.3278688525,42.2784121805,33.8443396226,31.2801932367,33.0261136713,34.8837209302,-1.0,28.1839622642,26.112412178,37.1125611746,38.3886255924,33.0261136713,39.6373977959,46.9568062827,35.1715686275,26.9323671498,36.2074772651,-1.0,33.6956521739,23.1359649123,-1.0,-1.0,-1.0,35.5704697987,35.747446611,28.813559322,33.7272727273,-1.0,30.7025986526,-1.0,36.6946778711,36.3369245837,37.104506232,-1.0,-1.0,-1.0,37.6211453744,39.730941704,-1.0,-1.0,-1.0,27.5340675751,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.8751156337,37.9830348728,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.8292682927,39.2296718973,37.4542124542,34.3608340888,34.3297101449,32.9449961803,37.5845410628,39.6192203083,42.1989528796,37.6739562624,33.9494163424,36.256684492,-1.0,35.9855677934,-1.0,-1.0,-1.0,40.5844155844,30.8154506438,35.6504468719,38.058419244,41.4686311787,31.9597069597,-1.0,-1.0,-1.0,31.3170731707,36.0076408787,-1.0,28.1281281281,32.9179646937,36.9341563786,39.6858638743,31.843575419,30.4918032787,29.6256684492,28.2051282051,38.6387434555,38.3957219251,36.8306010929,37.8770949721,-1.0,34.5641025641,37.7114427861,42.8571428571,28.3283283283,32.7179487179,31.041069723,-1.0,25.4475960571,20.4102564103,23.5064668446,24.9261083744,34.0802987862,33.9417555373,28.9597000937,26.2200342466,38.8717948718,-1.0,30.4007820137,-1.0,-1.0,35.9537572254,34.2851187995,33.5200746965,26.783625731,29.3498842836,32.1872015282,35.3874883287,-1.0,37.6,23.2091690544,-1.0,37.4358974359,33.9417555373,30.8542713568,36.2119725221,-1.0,-1.0,27.8240933722,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.1638576779,23.8927738928,-1.0,29.8285714286,28.0,-1.0,-1.0,24.019138756,-1.0,-1.0,27.0351758794,-1.0,-1.0,-1.0
41,Hampton Inn Madison Square Garden Area Hotel,37.3953488372,27.0047169811,28.5245901639,32.7079934747,-1.0,26.5700483092,-1.0,-1.0,32.9171974522,24.5283018868,25.2693208431,34.7471451876,28.3728278041,27.8648233487,32.2431567721,40.0196335079,-1.0,21.3043478261,38.4304479623,-1.0,-1.0,19.7149122807,40.0432900433,-1.0,-1.0,-1.0,29.2293407614,27.6181980375,23.3636363636,32.2350626998,27.1799807507,30.6306306306,-1.0,31.2047012733,27.4209012464,-1.0,27.6787148594,32.0558139535,32.8986784141,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.4256259205,23.1512448904,-1.0,28.1585903084,40.7308377897,32.9509713228,34.2507068803,-1.0,36.4940239044,-1.0,-1.0,-1.0,-1.0,-1.0,21.1149825784,33.7069492562,-1.0,-1.0,30.9963768116,27.4828113063,29.5652173913,30.3535811423,31.8534031414,-1.0,29.9416342412,32.1497326203,-1.0,28.8834029624,29.1505042669,28.5217391304,15.5735930736,-1.0,-1.0,-1.0,26.2886597938,-1.0,-1.0,29.314796425,27.2585972411,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.8102564103,-1.0,-1.0,22.5425425425,24.0205128205,23.0563514804,25.4800743341,-1.0,25.6205128205,25.6415520427,21.3004926108,-1.0,25.430680886,22.2492970947,-1.0,27.7743589744,23.1647940075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.6608187135,23.2905533347,22.0439350525,20.989729225,-1.0,-1.0,21.623686724,-1.0,-1.0,-1.0,22.2311557789,21.7075564279,-1.0,24.5949926362,-1.0,-1.0,17.1308900524,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.5025125628,24.230387289,-1.0,28.2651552489
42,The Towers of the Waldorf Astoria New York,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.9367681499,64.3012506797,69.8262243286,69.5852534562,76.2531105581,75.9489528796,66.0294117647,67.0289855072,78.9828224992,79.9019607843,52.7777777778,48.5745614035,99.7835497835,94.5205479452,58.4215591915,59.7315436242,-1.0,-1.0,47.9090909091,66.265060241,-1.0,54.7547547548,49.766573296,-1.0,-1.0,43.661971831,-1.0,-1.0,52.7753303965,54.798206278,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.3744493392,46.9696969697,-1.0,50.0471253534,69.40840685,45.4980079681,-1.0,45.9759481961,-1.0,-1.0,-1.0,39.7909407666,-1.0,-1.0,-1.0,-1.0,52.6165011459,53.6231884058,48.8667271079,57.277486911,-1.0,-1.0,55.0802139037,-1.0,51.3672616787,52.4631497285,52.4637681159,28.5173160173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.2177967748,54.486586494,55.1219512195,55.1098376313,-1.0,55.1551551552,-1.0,-1.0,-1.0,-1.0,55.6284153005,53.7967914439,-1.0,-1.0,-1.0,-1.0,56.2011173184,68.8205128205,-1.0,-1.0,-1.0,52.7527527528,-1.0,-1.0,63.0807350816,-1.0,56.9230769231,-1.0,-1.0,-1.0,-1.0,-1.0,61.1087328767,47.6923076923,51.9662921348,51.1241446725,71.9586535913,74.4542619543,-1.0,-1.0,49.2063492063,59.298245614,-1.0,48.0420248329,-1.0,-1.0,-1.0,-1.0,-1.0,50.9743589744,-1.0,-1.0,-1.0,58.8313413015,47.2333263202,49.0829512297,49.8088360238,-1.0,-1.0,55.4290917369,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.4357541899,-1.0,-1.0,-1.0,62.109795479,50.7537688442,48.7586891758,58.2554517134,96.2543124692
